#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
599070 1382690 300 1.4e-100 0.0 0.0 0.0 0.0 0.0 3.4e-169 9.1e-89 1.0e+02 
599890 1382690 300 5.4e-103 0.0 0.0 0.0 0.0 0.0 1.3e-172 3.8e-90 1.0e+02 
600715 1382690 300 1.9e-105 0.0 0.0 0.0 0.0 0.0 4.2e-176 1.5e-91 1.0e+02 
601545 1382690 300 5.9e-108 0.0 0.0 0.0 0.0 0.0 1.2e-179 5.8e-93 1.0e+02 
602380 1382690 300 1.7e-110 0.0 0.0 0.0 0.0 0.0 3.0e-183 2.1e-94 1.0e+02 
603220 1382690 300 4.5e-113 0.0 0.0 0.0 0.0 0.0 6.3e-187 7.1e-96 1.0e+02 
604065 1382690 300 1.1e-115 0.0 0.0 0.0 0.0 0.0 1.2e-190 2.3e-97 1.0e+02 
604915 1382690 300 2.3e-118 0.0 0.0 0.0 0.0 0.0 1.9e-194 7.0e-99 1.0e+02 
605770 1382690 300 4.6e-121 0.0 0.0 0.0 0.0 0.0 2.6e-198 2.0e-100 1.0e+02 
606630 1382690 300 8.3e-124 0.0 0.0 0.0 0.0 0.0 0.0 5.5e-102 1.0e+02 
607495 1382690 300 1.4e-126 0.0 0.0 0.0 0.0 0.0 0.0 1.4e-103 1.0e+02 
608365 1382690 300 2.0e-129 0.0 0.0 0.0 0.0 0.0 0.0 3.4e-105 1.0e+02 
609240 1382690 300 2.8e-132 0.0 0.0 0.0 0.0 0.0 0.0 7.7e-107 1.0e+02 
610120 1382690 300 3.4e-135 0.0 0.0 0.0 0.0 0.0 0.0 1.6e-108 1.0e+02 
611005 1382690 300 3.8e-138 0.0 0.0 0.0 0.0 0.0 0.0 3.3e-110 1.0e+02 
611895 1382690 300 3.9e-141 0.0 0.0 0.0 0.0 0.0 0.0 6.0e-112 1.0e+02 
612790 1382690 300 3.9e-144 0.0 0.0 0.0 0.0 0.0 0.0 9.7e-114 1.0e+02 
613690 1382690 300 5.3e-147 0.0 0.0 0.0 0.0 0.0 0.0 9.8e-116 1.0e+02 
614595 1382690 300 1.8e-149 0.0 0.0 0.0 0.0 0.0 0.0 3.4e-118 1.0e+02 
615505 1382690 300 9.9e-152 0.0 0.0 0.0 0.0 0.0 0.0 5.9e-121 1.0e+02 
616420 1382690 300 6.0e-154 0.0 0.0 0.0 0.0 0.0 0.0 8.0e-124 1.0e+02 
617340 1382690 300 3.5e-156 0.0 0.0 0.0 0.0 0.0 0.0 9.3e-127 1.0e+02 
618265 1382690 300 2.0e-158 0.0 0.0 0.0 0.0 0.0 0.0 9.4e-130 1.0e+02 
619195 1382690 300 1.1e-160 0.0 0.0 0.0 0.0 0.0 0.0 8.3e-133 1.0e+02 
620130 1382690 300 5.8e-163 0.0 0.0 0.0 0.0 0.0 0.0 6.4e-136 1.0e+02 
621070 1382690 300 2.9e-165 0.0 0.0 0.0 0.0 0.0 0.0 4.3e-139 1.0e+02 
622015 1382690 300 1.4e-167 0.0 0.0 0.0 0.0 0.0 0.0 2.5e-142 1.0e+02 
622965 1382690 300 6.5e-170 0.0 0.0 0.0 0.0 0.0 0.0 1.3e-145 1.0e+02 
623920 1382690 300 2.8e-172 0.0 0.0 0.0 0.0 0.0 0.0 5.7e-149 1.0e+02 
624880 1382690 300 1.2e-174 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0e+02 
625845 1382690 300 4.8e-177 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0e+02 
626815 1382690 300 1.8e-179 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0e+02 
627790 1382690 300 6.5e-182 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0e+02 
628770 1382690 300 2.2e-184 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0e+02 
629755 1382690 300 7.1e-187 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0e+02 
630745 1382690 300 2.2e-189 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0e+02 
631740 1382690 300 6.3e-192 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0e+02 
532315 1382692 300 4.6e+03 6.9 18 29 29 14 3.3 0.39 0.012 
532345 1382695 300 4.5e+03 6.9 18 29 29 14 3.3 0.39 0.012 
532380 1382698 300 4.5e+03 6.9 18 29 29 14 3.3 0.40 0.012 
532420 1382701 300 4.4e+03 6.8 18 29 29 14 3.4 0.41 0.013 
532464 1382705 300 4.2e+03 6.7 18 29 29 14 3.5 0.42 0.013 
532514 1382710 300 4.1e+03 6.5 17 29 29 14 3.6 0.44 0.014 
532569 1382714 300 3.9e+03 6.3 17 29 29 15 3.7 0.46 0.015 
532629 1382720 300 3.6e+03 6.0 17 28 30 15 3.9 0.49 0.016 
532693 1382725 300 3.4e+03 5.6 16 28 30 16 4.2 0.53 0.017 
532763 1382731 300 3.1e+03 5.1 15 28 30 16 4.5 0.59 0.019 
532838 1382738 300 2.7e+03 4.6 14 27 31 17 4.9 0.66 0.022 
532918 1382745 300 2.4e+03 4.1 13 27 31 18 5.4 0.75 0.025 
533002 1382752 300 2.0e+03 3.5 12 26 32 20 6.1 0.87 0.030 
533092 1382760 300 1.7e+03 2.9 11 25 32 21 7.0 1.0 0.037 
533187 1382768 300 1.4e+03 2.4 9.7 24 32 23 8.1 1.3 0.046 
533286 1382777 300 1.1e+03 1.9 8.3 22 32 25 9.6 1.6 0.059 
533391 1382786 300 8.5e+02 1.5 6.8 20 31 27 11 2.0 0.077 
533500 1382796 300 6.4e+02 1.1 5.5 18 30 29 14 2.5 0.10 
533615 1382806 300 4.7e+02 0.82 4.3 15 28 31 17 3.3 0.14 
533734 1382816 300 3.4e+02 0.59 3.3 13 26 33 20 4.3 0.19 
533859 1382827 300 2.4e+02 0.42 2.4 10 23 34 24 5.7 0.27 
533989 1382839 300 1.7e+02 0.29 1.7 7.6 19 35 29 7.6 0.39 
534123 1382850 300 1.2e+02 0.20 1.2 5.5 15 34 33 10 0.55 
534262 1382863 300 85 0.13 0.78 3.8 11 32 38 13 0.78 
534407 1382875 300 59 0.077 0.50 2.5 8.1 29 42 17 1.1 
534556 1382888 300 42 0.045 0.31 1.6 5.4 25 46 21 1.5 
534711 1382902 300 29 0.025 0.18 0.97 3.4 20 48 26 2.1 
534870 1382916 300 21 0.013 0.10 0.57 2.0 16 48 31 2.9 
535035 1382930 300 15 0.0060 0.055 0.32 1.1 12 47 37 3.9 
535204 1382945 300 10 0.0027 0.028 0.17 0.61 8.1 44 42 5.1 
535378 1382960 300 7.3 0.0011 0.013 0.091 0.32 5.3 40 48 6.8 
535558 1382976 300 5.2 0.00041 0.0059 0.046 0.16 3.3 35 53 8.9 
535742 1382992 300 3.6 0.00014 0.0025 0.022 0.077 2.0 29 57 12 
535931 1383009 300 2.6 4.6e-05 0.00096 0.010 0.037 1.1 24 60 15 
536125 1383026 300 1.8 1.3e-05 0.00035 0.0043 0.017 0.59 19 62 19 
536325 1383043 300 1.3 3.5e-06 0.00011 0.0017 0.0077 0.29 14 62 23 
536529 1383061 300 0.90 8.2e-07 3.5e-05 0.00066 0.0034 0.13 10 61 29 
536738 1383079 300 0.63 1.7e-07 9.9e-06 0.00024 0.0014 0.059 7.0 58 35 
536952 1383098 300 0.45 3.3e-08 2.5e-06 7.8e-05 0.00056 0.024 4.6 53 42 
537171 1383117 300 0.32 5.4e-09 5.8e-07 2.4e-05 0.00021 0.0093 2.8 47 50 
537395 1383137 300 0.23 7.9e-10 1.2e-07 6.6e-06 7.6e-05 0.0033 1.7 41 58 
537625 1383157 300 0.17 1.0e-10 2.2e-08 1.7e-06 2.5e-05 0.0011 0.92 34 65 
537859 1383177 300 0.12 1.1e-11 3.7e-09 3.9e-07 7.9e-06 0.00036 0.48 27 73 
538098 1383198 300 0.089 1.0e-12 5.3e-10 8.2e-08 2.3e-06 0.00011 0.23 21 79 
538342 1383219 300 0.066 8.3e-14 6.9e-11 1.6e-08 6.4e-07 3.3e-05 0.11 15 85 
538591 1383241 300 0.049 5.7e-15 7.8e-12 2.7e-09 1.6e-07 9.6e-06 0.045 11 89 
538845 1383263 300 0.037 3.3e-16 7.7e-13 4.2e-10 3.8e-08 2.8e-06 0.018 7.1 93 
539104 1383286 300 0.028 1.6e-17 6.6e-14 5.8e-11 8.5e-09 7.9e-07 0.0067 4.6 95 
